ENCSR582IPV	ENCFF595DTJ	ENCFF629AAK
ENCSR582IPV	ENCFF591XQT	ENCFF830TGU
ENCSR000EOC	ENCFF667MNJ	ENCFF468FOP
ENCSR000EOC	ENCFF592MMI	ENCFF210OAI
ENCSR504WYA	ENCFF311FXS	ENCFF413EKZ
ENCSR628IRM	ENCFF883JVC	ENCFF801DBL
ENCSR643GHI	ENCFF263RQE	ENCFF502EPK
ENCSR000EQN	ENCFF090MYG	ENCFF040DSN
ENCSR000EQN	ENCFF864JGZ	ENCFF277XIR
ENCSR426IEA	ENCFF254NDZ	ENCFF953EXS
ENCSR426IEA	ENCFF610TRI	ENCFF699BQM
ENCSR000EPC	ENCFF678VYF	ENCFF879OCJ
ENCSR000EPC	ENCFF591TEM	ENCFF565YDB
ENCSR840TVG	ENCFF403GDZ	ENCFF398WIV
ENCSR000EMZ	ENCFF345GHO	ENCFF696IEW
ENCSR000EMZ	ENCFF686SRR	ENCFF094QTA
ENCSR562ACY	ENCFF496QFG	ENCFF723EYP
ENCSR014FPY	ENCFF560ADH	ENCFF694RNX
ENCSR868XPR	ENCFF049WFJ	ENCFF170QVL
ENCSR932DHT	ENCFF972PYS	ENCFF701FFX
ENCSR445XYW	ENCFF779RJW	ENCFF338GCP
ENCSR845MEJ	ENCFF882KAT	ENCFF520PUY
ENCSR000EMM	ENCFF894ZVE	ENCFF276SZR
ENCSR000ELX	ENCFF881KPD	ENCFF802ZBQ
ENCSR000ELX	ENCFF279WTM	ENCFF477IRE
ENCSR000EPT	ENCFF375IJW	ENCFF698HGI
ENCSR000EPT	ENCFF048ENW	ENCFF974LXC
ENCSR533VAF	ENCFF022BIA	ENCFF461COG
ENCSR946MVP	ENCFF783DMI	ENCFF461SNA
ENCSR946MVP	ENCFF141WFQ	ENCFF581SEG
ENCSR004SUL	ENCFF035TSA	ENCFF938XUM
ENCSR004SUL	ENCFF006CKP	ENCFF799LEZ
ENCSR615WIN	ENCFF342GYS	ENCFF599PVD
ENCSR301RCD	ENCFF799FPE	ENCFF964WUW
ENCSR504KZE	ENCFF103JUC	ENCFF710LQM
ENCSR746RDJ	ENCFF747XFS	ENCFF062BSK
ENCSR746RDJ	ENCFF752CGA	ENCFF581KWV
ENCSR444VTC	ENCFF357YVA	ENCFF471TWL
ENCSR026EOM	ENCFF758IXK	ENCFF735MKP
ENCSR000ENE	ENCFF351ETM	ENCFF025HHG
ENCSR000ENE	ENCFF419OPC	ENCFF754XUT
ENCSR344FLH	ENCFF495TYK	ENCFF003FBE
ENCSR475VQD	ENCFF694HNB	ENCFF468SMI
ENCSR475VQD	ENCFF326MTD	ENCFF747KOZ
ENCSR580OAH	ENCFF451NJI	ENCFF069WLL
ENCSR482HQE	ENCFF581AVY	ENCFF036RHD
ENCSR935EVZ	ENCFF462CUN	ENCFF106TCU
ENCSR527PAX	ENCFF011KOC	ENCFF433YLK
ENCSR930AUG	ENCFF512KST	ENCFF499TWX
ENCSR062DXC	ENCFF639QKR	ENCFF529MMP
ENCSR888GBS	ENCFF868KCX	ENCFF259GAI
ENCSR188JLO	ENCFF879OIL	ENCFF687KFN
ENCSR705CNJ	ENCFF332GEX	ENCFF702IWR
ENCSR705CNJ	ENCFF072KAW	ENCFF498ECZ
ENCSR332BSB	ENCFF914ZZA	ENCFF386DMJ
ENCSR828RNY	ENCFF822LXI	ENCFF331URX
ENCSR000FFJ	ENCFF013QGL	ENCFF741DDM
ENCSR000FFJ	ENCFF900FVY	ENCFF423TYX
ENCSR678ILN	ENCFF516PCO	ENCFF422YYH
ENCSR678ILN	ENCFF433CFI	ENCFF192NGP
ENCSR593LTJ	ENCFF726NZR	ENCFF925UKW
ENCSR593LTJ	ENCFF878NHU	ENCFF497YVQ
ENCSR964MZQ	ENCFF443FNM	ENCFF833HDX
ENCSR964MZQ	ENCFF904BFF	ENCFF778GTA
ENCSR127PWK	ENCFF581GVQ	ENCFF681KGX
ENCSR864IGD	ENCFF957COH	ENCFF561DJM
ENCSR820WNB	ENCFF530YVM	ENCFF427FTE
ENCSR000EQJ	ENCFF336GIX	ENCFF313YWE
ENCSR914DOH	ENCFF878MWN	ENCFF281GOQ
ENCSR322UXF	ENCFF337RXL	ENCFF137XIB
ENCSR512CWR	ENCFF876BZP	ENCFF622CII
ENCSR512CWR	ENCFF583CPP	ENCFF027DTU
ENCSR080ISA	ENCFF656IUA	ENCFF146VLD
ENCSR383BLX	ENCFF342RFE	ENCFF801JJS
ENCSR575VMI	ENCFF451MCK	ENCFF327IFZ
ENCSR575VMI	ENCFF915YHI	ENCFF124SMB
ENCSR848XIY	ENCFF497TSE	ENCFF415UET
ENCSR392GCE	ENCFF187STF	ENCFF851MCI
ENCSR856NXV	ENCFF019IAD	ENCFF882QOT
ENCSR856NXV	ENCFF584UFS	ENCFF626LYV
ENCSR986HEN	ENCFF259TWS	ENCFF630KCX
ENCSR849OKE	ENCFF574GID	ENCFF493QSG
ENCSR155NPL	ENCFF512KQX	ENCFF365HVU
ENCSR000EMV	ENCFF720JEK	ENCFF554DWH
ENCSR959ZXU	ENCFF912JKA	ENCFF977IGB
ENCSR959ZXU	ENCFF180PCI	ENCFF256QQH
ENCSR095GWE	ENCFF722VFZ	ENCFF873DWP
ENCSR095GWE	ENCFF279KHO	ENCFF164PKU
ENCSR814KRX	ENCFF184BWW	ENCFF441MDS
ENCSR814KRX	ENCFF774MDD	ENCFF074JTF
ENCSR814KRX	ENCFF545ZSH	ENCFF528SGI
ENCSR814KRX	ENCFF784NOX	ENCFF846SFA
ENCSR000ENY	ENCFF128EMV	ENCFF250ZZO
ENCSR000ENY	ENCFF200WYL	ENCFF802HMY
ENCSR600RAA	ENCFF280YWT	ENCFF028YSP
ENCSR785BDQ	ENCFF214SWN	ENCFF888PNL
ENCSR785BDQ	ENCFF889KLT	ENCFF774SBP
ENCSR171ETY	ENCFF122KHB	ENCFF073UDC
ENCSR842VTJ	ENCFF032GRA	ENCFF825SRM
ENCSR820ICX	ENCFF441YDL	ENCFF489DYU
ENCSR648GDP	ENCFF328FOI	ENCFF600WZF
ENCSR224IYD	ENCFF182IAY	ENCFF151SBP
ENCSR420NOA	ENCFF649ZAY	ENCFF121CVF
ENCSR420NOA	ENCFF820REL	ENCFF102WBV
ENCSR083STA	ENCFF790EMB	ENCFF723FDT
ENCSR083STA	ENCFF642YAS	ENCFF251ABP
ENCSR149XIL	ENCFF591XCX	ENCFF577SOF
ENCSR149XIL	ENCFF097NAZ	ENCFF842XRQ
ENCSR019JDO	ENCFF556SWZ	ENCFF220RFB
ENCSR019JDO	ENCFF080GWM	ENCFF785BWB
ENCSR133SPH	ENCFF541OSD	ENCFF811EUQ
ENCSR052AWE	ENCFF743EZY	ENCFF999OEJ
ENCSR052AWE	ENCFF787PNI	ENCFF734FIM
ENCSR000EQM	ENCFF727AUR	ENCFF189ULK
ENCSR000EQM	ENCFF405WBA	ENCFF813BUL
ENCSR265TEK	ENCFF041JRP	ENCFF564MGY
ENCSR265TEK	ENCFF634JKR	ENCFF191ZUG
ENCSR772HUG	ENCFF777VGM	ENCFF242KTE
ENCSR320TUJ	ENCFF778QBO	ENCFF570PTC
ENCSR271QSV	ENCFF037MBH	ENCFF992LZL
ENCSR476SDZ	ENCFF155AZA	ENCFF302BVR
ENCSR000EOF	ENCFF188SZW	ENCFF714QQU
ENCSR000EOF	ENCFF644BXG	ENCFF649TOT
ENCSR357PMV	ENCFF791NEI	ENCFF941ILF
ENCSR963ALV	ENCFF939WNT	ENCFF095HIQ
ENCSR962EAP	ENCFF483PTN	ENCFF689ZKP
ENCSR524DWS	ENCFF461XPQ	ENCFF631XBY
ENCSR000ENK	ENCFF422YEO	ENCFF923EUB
ENCSR000ENK	ENCFF236GKU	ENCFF724ERX
ENCSR000EQI	ENCFF543WBR	ENCFF438GIW
ENCSR000EMK	ENCFF383AUD	ENCFF274MGW
ENCSR328UMC	ENCFF993CDV	ENCFF158ALT
ENCSR860NDZ	ENCFF325PPL	ENCFF374WLB
ENCSR000EOH	ENCFF033BYV	ENCFF184UHW
ENCSR000EOH	ENCFF981HHK	ENCFF855ZLB
ENCSR167JFX	ENCFF186TVF	ENCFF522NPH
ENCSR000EQD	ENCFF881MGL	ENCFF204BQM
ENCSR000EQK	ENCFF315IYJ	ENCFF622JVD
ENCSR588JXI	ENCFF871ZIO	ENCFF946AQO
ENCSR014VAC	ENCFF694DML	ENCFF461CDQ
ENCSR022ECC	ENCFF411CUP	ENCFF825MFH
ENCSR295ELC	ENCFF060HCX	ENCFF034GYI
ENCSR829MXU	ENCFF240HYM	ENCFF210SQU
ENCSR356QCD	ENCFF748OVY	ENCFF147PGS
ENCSR503BEM	ENCFF615YBI	ENCFF692FQU
ENCSR503BEM	ENCFF478GDA	ENCFF596PWR
ENCSR016THC	ENCFF465SCA	ENCFF245IYM
ENCSR803VCR	ENCFF193WOS	ENCFF772ECZ
ENCSR000EPW	ENCFF959EEX	ENCFF499KPZ
ENCSR000EPW	ENCFF725QCH	ENCFF381QMQ
ENCSR092OFK	ENCFF279XBP	ENCFF792NVL
ENCSR299INS	ENCFF098TNV	ENCFF071LJS
ENCSR193LYA	ENCFF909JSB	ENCFF748UWO
ENCSR154OUQ	ENCFF924XMA	ENCFF575XEK
ENCSR954AJK	ENCFF513LUJ	ENCFF220BQY
ENCSR733YNW	ENCFF162FHA	ENCFF264JCE
ENCSR845CFB	ENCFF016XZZ	ENCFF800PMS
ENCSR845CFB	ENCFF884HGF	ENCFF202GSR
ENCSR228IKB	ENCFF756UYO	ENCFF102SIK
ENCSR594NOE	ENCFF099MEZ	ENCFF548BBX
ENCSR594NOE	ENCFF381LQH	ENCFF158OZL
ENCSR609DDQ	ENCFF175VYM	ENCFF726GTU
ENCSR565EBN	ENCFF038JSA	ENCFF389EEG
ENCSR555TFE	ENCFF637MNL	ENCFF660PED
ENCSR595CSH	ENCFF226FCY	ENCFF641HVS
ENCSR595CSH	ENCFF982IRZ	ENCFF738XPG
ENCSR083FBK	ENCFF204MVL	ENCFF343DFM
ENCSR438TWI	ENCFF153KUO	ENCFF990QEC
ENCSR765BSU	ENCFF434XSW	ENCFF712OII
ENCSR000EPX	ENCFF350ASE	ENCFF827VFY
ENCSR000EPX	ENCFF757YJR	ENCFF524NIB
ENCSR121ZSL	ENCFF156AXX	ENCFF248OBP
ENCSR121ZSL	ENCFF191RYF	ENCFF256IDG
ENCSR809LCE	ENCFF360AJQ	ENCFF497YLT
